ambiguity,name,set_code,artist,discrepancy,correct_artists,correct_sets
583,call of the herd,TSP,Carl Critchlow,Set not found in dbgit ,"Lars Grant-West, Carl Critchlow","ody, tsb, wc02, plst, prm, dds, dmr, mm3, pgpx"
584,call of the herd,TSP,Carl Critchlow,Set not found in dbgit ,"Lars Grant-West, Carl Critchlow","ody, tsb, wc02, plst, prm, dds, dmr, mm3, pgpx"
588,call of the herd,"DDS, TPS. MM3",Carl Critchlow,Set not found in dbgit ,"Lars Grant-West, Carl Critchlow","ody, tsb, wc02, plst, prm, dds, dmr, mm3, pgpx"
615,careful study,ODY,Scott Fischer,Artist not found in db,Scott M. Fischer,"wc03, wc02, plst, ody"
620,carrion howler,RTR,John Zeleznik,Set not found in dbgit ,John Zeleznik,"rav, psal"
624,cast through time,ROE,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,roe
625,castle foreign,4ED,Dameon Willich,Name not found in db,,
649,cenn's tactician,MOR,Z Boros and G Szikszai,Artist not found in db,"Steven Belledin, Zoltan Boros & Gabor Szikszai","mor, prm, pdci"
650,cephalic constable,10E,Alan Pollack,Name not found in db,,
680,chaotic aether,PC2,Dan Scott,Artist and set not found in db,Dan Murayama Scott,"opc2, moc, opca"
691,chromatog,VIS,Christopher Rush,Name not found in db,,
698,circle of protection black,LEB,Jesper Myrfors,Name not found in db,,
707,circle of protection: blue foreign,4ED,Dameon Willich,Name not found in db,,
712,"circle of protection: green, elder druid, ivory cup",7ED,Alan Pollack,Name not found in db,,
732,clairvoyance,ICE,Ken Meyer Jr.,Artist not found in db,"Ken Meyer, Jr.",ice
740,clearwater pathway,ZNR,Daarken,Name not found in db,,
743,clockspinning,TSP,Z Boros and G Szikszai,Artist not found in db,"Thanh Tuấn, Zoltan Boros & Gabor Szikszai","who, tsp"
799,consecrate land,TSP,Jeff A. Menges,Set not found in dbgit ,Jeff A. Menges,"leb, ced, tsb, 30a, 2ed, lea, cei"
805,contagion clasp,SOM,Anthony Polumbo,Artist not found in db,"Zuzanna Wużyk, Anthony Palumbo, Franz Vohwinkel","pip, som, tsr, prm, plst, onc, td2, ddf, f11"
816,coral barrier,M13,Florian de Gesincourt,Set not found in dbgit ,Florian de Gesincourt,m15
819,corpulent corpose,TSP,Doug Chaffee,Name not found in db,,
821,corrupt,7ED,Scott Fischer,Artist not found in db,"Alex Horley-Orlandelli, Scott M. Fischer, Philip Straub, Dave Allsop, Vincent Evans, Julie Dillon","p08, dvd, usg, bro, m11, gvl, prm, plst, ddc, ddd, pidw, m14, shm, 7ed"
822,cosi's ravager,WWK,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"wwk, ddi"
826,counterspell,ICE,L.A Williams,Artist not found in db,"Chase Stone, Rindo Karasuba, rk post, Olena Richards, Ryan Yee, Gao Yan, Zack Stella, Mark Romanoski, Hannibal King, Dom!, Ryan Valle, Stephen Daniele, Jason Chan, Mark Poole, Mateus Manhanini, Allen Williams","f05, sld, dd2, sum, wc97, wc98, 2ed, sta, lea, a25, pf24, mb2, s99, 3ed, wc01, ss1, jvc, cmr, cei, dmr, brb, mp2, leb, 30a, g00, 5ed, prm, wc02, mh2, fbb, tpr, 4ed, ema, ptc, scd, plgm, pmei, 7ed, mmq, cmm, ice, ced, me2, 6ed, wc00, plst, btd, tmp, 4bb, vma, me4, gn3"
831,courser of kruphix,M25,Eric Deschamps,Set not found in dbgit ,"Slawomir Maniak, Eric Deschamps","cmm, ea2, tsr, j22, plst, prm, cp2, a25, bng"
832,courser of krupix,A25,Eric Deschamps,Name not found in db,,
835,covenant of fire,ICE,Dan Frazier,Name not found in db,,
844,craw giant,DRK,Christopher Rush,Set not found in dbgit ,"Christopher Rush, Scott Kirschner","leg, bchr, 5ed, chr, tsb"
865,cryoclasm,10E,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"csp, 10e"
872,crystallization,ARB,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,arb
873,crytic gateway,ONS,David Martin,Name not found in db,,
874,culling the weak,EXO,Scott Fischer,Artist not found in db,Scott M. Fischer,"mb2, exo, pmei"
874,culling the weak,EXO,Scott Fischer,Artist not found in db,Scott M. Fischer,"mb2, exo, pmei"
882,cyclopean mummy,4ED,Edward Beard JR,Artist not found in db,"Edward P. Beard, Jr.","leg, ren, 4bb, 4ed, me4"
883,cytoplast manipulator,DIS,Dan Scott,Artist not found in db,Dan Murayama Scott,dis
887,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
887,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
888,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
889,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
890,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
891,damping engine,ULG,RK Post,Artist not found in db,rk post,ulg
892,dandan,5ED,Drew Tucker,Name not found in db,,
908,dash hopes,PLC,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"plc, plst"
